Datetime,Open,High,Low,Close,Volume,SMA,short_ema,long_ema,MACD,Signal_Line,Buy_Signal,Sell_Signal
2023-10-30,83500.0,86000.0,83500.0,85900.0,618900,85560.0,85489.00879578711,86159.61867806115,-670.6098822740314,-787.7994626168122,True,False
2023-10-31,85900.0,86900.0,84900.0,86800.0,1438300,85585.0,85690.6997502814,86207.05433153811,-516.3545812567027,-733.5104863447904,True,False
2023-11-01,86800.0,87800.0,86100.0,87800.0,1550100,85660.0,86015.20748100734,86325.05030697973,-309.8428259723878,-648.77695427031,True,False
2023-11-02,88000.0,89000.0,86600.0,89000.0,1114500,85885.0,86474.40633008313,86523.19472868493,-48.78839860179869,-528.7792431366078,True,False
2023-11-03,89000.0,89400.0,88100.0,88900.0,1157600,86060.0,86847.57458699342,86699.25437841198,148.32020858144097,-393.35935279299804,True,False
2023-11-06,88900.0,89800.0,88500.0,89500.0,833800,86305.0,87255.64003514827,86906.71701704813,348.9230181001476,-244.9028786143689,True,False
2023-11-07,89000.0,89300.0,88300.0,88300.0,518900,86415.0,87416.31079897162,87009.92316393346,406.38763503816153,-114.6447758838628,True,False
2023-11-08,88000.0,89700.0,87900.0,89500.0,1329300,86565.0,87736.8783683606,87194.3732999384,542.5050684222078,16.78519297735133,True,False
2023-11-09,89500.0,89500.0,87900.0,87900.0,2291800,86660.0,87761.97400399743,87246.6419443874,515.3320596100239,116.49456630388585,True,False
2023-11-10,87100.0,87500.0,86000.0,86000.0,1411000,86630.0,87490.90108030551,87154.298096655,336.6029836505186,160.5162497732124,False,False
2023-11-13,86000.0,86100.0,85400.0,85500.0,3242786,86600.0,87184.60860641235,87031.75749690276,152.85110950958915,158.98322172048773,False,True
2023-11-14,86000.0,86500.0,85400.0,86000.0,1086500,86605.0,87002.36112850276,86955.3310156507,47.03011285205139,136.59259994680048,False,True
2023-11-15,86500.0,87700.0,86500.0,87700.0,4172800,86695.0,87109.69018565617,87010.49168115806,99.19850449811202,129.1137808570628,False,False
2023-11-16,87000.0,88000.0,86700.0,88000.0,1343800,86870.0,87246.66092632446,87083.78859366488,162.87233265957911,135.86549121756607,True,False
2023-11-17,87800.0,87900.0,85500.0,85600.0,1693000,86910.0,86993.32847612069,86973.8783274675,19.450148653195356,112.58242270469194,False,True
2023-11-20,85600.0,87000.0,85000.0,86100.0,1157400,86990.0,86855.89332594827,86909.14659950694,-53.253273558671935,79.41528345201917,False,True
2023-11-21,86100.0,86700.0,85800.0,86600.0,1256400,87020.0,86816.52512195623,86886.24685139532,-69.72172943908663,49.58788087379801,False,True
2023-11-22,86300.0,86700.0,85500.0,86700.0,1071700,87065.0,86798.59818011682,86872.45078832899,-73.85260821216798,24.899783056604814,False,True
2023-11-23,86700.0,86800.0,85500.0,85500.0,752200,87115.0,86598.81384471424,86770.78776697129,-171.9739222570497,-14.474958006126087,False,True
2023-11-24,85500.0,86000.0,85000.0,86000.0,793500,87165.0,86506.68863783513,86713.69237682526,-207.0037389901263,-52.98071420292614,False,True
2023-11-27,86000.0,86000.0,85100.0,85800.0,548000,87160.0,86397.96730893743,86646.0114600234,-248.04415108596731,-91.99340157953438,False,True
2023-11-28,85500.0,85900.0,84800.0,85800.0,926200,87110.0,86305.97233833167,86583.3439444661,-277.3716061344312,-129.06904249051377,False,True
2023-11-29,85400.0,85900.0,85100.0,85100.0,838100,86975.0,86120.43813243449,86473.4666152464,-353.02848281191837,-173.8609305547947,False,True
2023-11-30,85100.0,85400.0,84700.0,84700.0,986600,86760.0,85901.90918898303,86342.09871782074,-440.1895288377127,-227.12665021137832,False,True
2023-12-01,84900.0,85000.0,84100.0,85000.0,788700,86565.0,85763.15392913949,86242.68399798217,-479.5300688426796,-277.6073339376386,False,True
2023-12-04,85400.0,86200.0,84800.0,86000.0,978100,86390.0,85799.59178619496,86224.70740553904,-425.1156193440838,-307.10899101892767,False,True
2023-12-05,86000.0,86100.0,84800.0,85400.0,2339861,86245.0,85738.11612678034,86163.61796809171,-425.5018413113721,-330.78756107741657,False,True
2023-12-06,85300.0,86000.0,85000.0,85900.0,748000,86065.0,85763.0213380449,86144.09071119603,-381.06937315112737,-340.84392349215875,False,True
2023-12-07,85700.0,86000.0,85000.0,85200.0,2403460,85930.0,85676.40267065338,86074.15806592224,-397.7553952688613,-352.22621784749924,False,True
2023-12-08,85200.0,85500.0,85000.0,85000.0,1293000,85880.0,85572.34072132209,85994.59080177985,-422.2500804577576,-366.2309903695509,False,True
